Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Tests,Population,continent,Density
Hong Kong,1201431.0,523.0,9236.0,9.0,627899.0,0.0,564296.0,115.0,44972952.0,7606940.0,Asia,6887.952
Singapore,1180124.0,2709.0,1325.0,1.0,1112762.0,3375.0,66037.0,9.0,23712995.0,5933523.0,Asia,8371.1915
Morocco,1164670.0,56.0,16065.0,1.0,1148154.0,46.0,451.0,293.0,11237010.0,37701437.0,Africa,84.588
Bulgaria,1152892.0,354.0,36849.0,7.0,959542.0,110.0,156501.0,105.0,9797011.0,6853902.0,Europe,61.7303
Croatia,1117175.0,894.0,15778.0,6.0,1096829.0,649.0,4568.0,22.0,4762146.0,4059506.0,Europe,71.7264
Cuba,1101486.0,266.0,8523.0,0.0,1091603.0,310.0,1360.0,23.0,12920253.0,11314118.0,North America,102.8872
Lebanon,1096320.0,93.0,10374.0,2.0,1079455.0,409.0,6491.0,186.0,4795578.0,6770194.0,Asia,639.5761
Lithuania,1054191.0,729.0,9054.0,6.0,1016058.0,1757.0,29079.0,40.0,8213343.0,2653648.0,Europe,40.7612
Tunisia,1039532.0,0.0,28533.0,0.0,46402.0,0.0,964597.0,29.0,4563397.0,12042183.0,Africa,73.6303
Slovenia,1003977.0,1050.0,6576.0,7.0,980504.0,1847.0,16897.0,30.0,2640107.0,2079455.0,Europe,102.5025
Finland,1000472.0,0.0,3638.0,0.0,46000.0,0.0,950834.0,31.0,10644579.0,5556281.0,Europe,16.4142
Nepal,978732.0,18.0,11951.0,0.0,966498.0,17.0,283.0,0.0,5613608.0,30083975.0,Asia,205.3633
Belarus,977434.0,528.0,6922.0,2.0,928536.0,0.0,41976.0,0.0,13092771.0,9443704.0,Europe,45.4374
Bolivia,904294.0,0.0,21907.0,0.0,854575.0,0.0,27812.0,220.0,2693845.0,11960852.0,South America,10.9165
UAE,896892.0,261.0,2302.0,0.0,879426.0,372.0,15164.0,0.0,154143355.0,10106422.0,Asia,118.0
Uruguay,895775.0,0.0,7197.0,0.0,886654.0,0.0,1924.0,18.0,6091188.0,3495495.0,South America,19.3114
New Zealand,878575.0,7984.0,627.0,17.0,818286.0,5796.0,59662.0,0.0,6983031.0,5002100.0,Australia/Oceania,18.1102
Ecuador,868053.0,0.0,35581.0,0.0,854575.0,0.0,0.0,759.0,2470170.0,18127314.0,South America,65.4288
Costa Rica,847784.0,0.0,8383.0,0.0,829515.0,0.0,9886.0,43.0,4240743.0,5178213.0,North America,101.4159
Guatemala,842369.0,1028.0,17514.0,18.0,822253.0,1068.0,2602.0,5.0,4402305.0,18514535.0,North America,170.6696
Latvia,816994.0,696.0,5743.0,4.0,802678.0,951.0,8573.0,9.0,7151531.0,1848510.0,Europe,28.6379
Azerbaijan,792476.0,19.0,9707.0,0.0,782634.0,13.0,135.0,0.0,6792132.0,10304394.0,Asia,118.94
Panama,771486.0,481.0,8182.0,0.0,759832.0,337.0,3472.0,8.0,5820472.0,4437539.0,North America,58.965
Saudi Arabia,753332.0,91.0,9076.0,1.0,740467.0,223.0,3789.0,45.0,41817866.0,35793875.0,Asia,16.6745
Sri Lanka,663131.0,40.0,16502.0,2.0,642574.0,3.0,4055.0,0.0,6486117.0,21575568.0,Asia,328.8499
Paraguay,649034.0,0.0,18795.0,0.0,624673.0,0.0,5566.0,5.0,2623300.0,7290918.0,South America,17.9614
Kuwait,631294.0,64.0,2555.0,0.0,627899.0,93.0,840.0,8.0,7999656.0,4384734.0,Asia,245.8371
Myanmar,612733.0,19.0,19434.0,0.0,591609.0,26.0,1690.0,0.0,7891077.0,55069234.0,Asia,81.6272
Palestine,581816.0,0.0,5353.0,0.0,575899.0,0.0,564.0,17.0,3078533.0,5315705.0,Asia,859.4117
Dominican Republic,578954.0,0.0,4376.0,0.0,574297.0,0.0,281.0,16.0,3261060.0,11044570.0,North America,227.1655
Estonia,570076.0,355.0,2531.0,0.0,506711.0,876.0,60834.0,7.0,3310467.0,1328148.0,Europe,29.2283
Bahrain,565830.0,366.0,1475.0,0.0,560795.0,390.0,3560.0,3.0,9695962.0,1808408.0,Asia,2332.0039
Venezuela,522121.0,33.0,5705.0,0.0,515305.0,93.0,1111.0,230.0,3359014.0,28290292.0,South America,31.9353
Moldova,516986.0,0.0,11489.0,0.0,504142.0,0.0,1355.0,49.0,3216305.0,4017015.0,Europe,118.5715
Egypt,515645.0,0.0,24613.0,0.0,442182.0,0.0,48850.0,122.0,3693367.0,105822756.0,Africa,105.8972
Libya,501862.0,0.0,6429.0,0.0,490900.0,0.0,4533.0,101.0,2476960.0,7040194.0,Africa,4.0015
Cyprus,470481.0,6115.0,1011.0,18.0,124370.0,0.0,345100.0,60.0,9477138.0,1223249.0,Asia,132.2438
Ethiopia,470417.0,12.0,7510.0,0.0,454967.0,304.0,7940.0,15.0,4763756.0,120109031.0,Africa,109.4021
