,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
178,Liechtenstein,"17,171",+8,84,,"16,970",+22,117,1,"448,001","2,192","102,174","2,665,780","38,328"
179,San Marino,"16,437",+251,115,+1,"15,960",+258,362,4,"482,575","3,376","149,271","4,382,461","34,061"
180,Equatorial Guinea,"15,907",,183,,"15,698",,26,5,"10,697",123,"310,972","209,126","1,487,006"
181,Djibouti,"15,611",,189,,"15,411",,11,,"15,392",186,"303,924","299,667","1,014,206"
182,Solomon Islands,"14,786",,141,,"13,307",,"1,338",2,"20,605",196,"5,117","7,131","717,597"
183,CAR,"14,649",,113,,"6,859",,"7,677",2,"2,940",23,"81,294","16,315","4,982,920"
184,Grenada,"14,629",,220,,"14,029",,380,4,"128,919","1,939","149,943","1,321,386","113,474"
185,Bermuda,"13,488",,131,,"12,981",,376,,"218,048","2,118","876,273","14,165,880","61,858"
186,Dominica,"12,033",,63,,"11,929",,41,,"166,404",871,"188,110","2,601,366","72,312"
187,Gambia,"11,995",,365,,"11,591",,39,,"4,722",144,"155,686","61,283","2,540,446"
188,Greenland,"11,971",,21,,"2,761",,"9,189",4,"210,202",369,"164,926","2,895,979","56,950"
189,Yemen,"11,818",,"2,149",,"9,009",,660,23,381,69,"265,253","8,550","31,023,829"
190,Monaco,"11,762",+26,54,,"11,548",+29,160,4,"295,899","1,358","54,960","1,382,642","39,750"
191,Saint Martin,"10,462",,63,,"1,399",,"9,000",7,"262,409","1,580","112,382","2,818,782","39,869"
192,Tonga,"10,196",+131,11,,"8,923",+87,"1,262",,"94,512",102,"454,376","4,211,865","107,880"
193,Sint Maarten,"10,036",,86,,"9,878",,72,10,"229,321","1,965","62,056","1,417,969","43,764"
194,Eritrea,"9,734",,103,,"9,631",,0,,"2,677",28,"23,693","6,516","3,635,951"
195,Caribbean Netherlands,"9,729",+16,34,,"9,619",+29,76,,"364,819","1,275","30,126","1,129,669","26,668"
196,Samoa,"9,592",+597,19,+3,"1,605",,"7,968",4,"47,764",95,"65,949","328,400","200,819"
197,Niger,"8,928",+4,309,,"8,518",,101,1,346,12,"250,056","9,691","25,803,749"
198,Guinea-Bissau,"8,202",+12,171,,"7,528",,503,6,"3,995",83,"134,285","65,415","2,052,815"
199,Comoros,"8,100",,160,,"7,933",,7,,"8,966",177,,,"903,381"
200,Sierra Leone,"7,681",,125,,N/A,N/A,N/A,,928,15,"259,958","31,423","8,272,811"
201,Antigua and Barbuda,"7,626",+22,136,,"7,443",+9,47,1,"76,714","1,368","18,901","190,136","99,408"
